generator_source,detector,scenario_id,case_id,target_family,predicted_family,family_exact_match,family_top3_match,family_match_label,target_assets,predicted_assets,asset_match,asset_accuracy,truth_signal_count,predicted_grounded_signal_count,evidence_grounding_overlap,evidence_grounding_label,action_relevance_score,action_relevance_label,partial_alignment_score,unsupported_claim,primary_error_category,operator_summary,recommended_actions_excerpt,uncertainty_notes,case_path
chatgpt,gru,scn_fdi_bus150_voltage_dropout,chatgpt__gru__scn_fdi_bus150_voltage_dropout,false_data_injection,false_data_injection,1,1,exact,bus150,bess108,none,0.0,3,6,0.3333333333333333,medium,1.0,high,1.0,0,correct family / wrong asset,Runtime evidence is most consistent with false_data_injection. Strongest localized evidence points to bess108. Detector crossed threshold at 2025-06-01T03:31:01+00:00.,Cross-check bus_150_v_pu_phase_c against historian or device-side telemetry before changing control settings. | Hold operator action on bess108 until the measurement path is verified.,No major runtime contradiction was found.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\gru__scn_fdi_bus150_voltage_dropout.json
chatgpt,gru,scn_fdi_pv35_qvar_step_bias,chatgpt__gru__scn_fdi_pv35_qvar_step_bias,false_data_injection,false_data_injection,1,1,exact,pv35,bess48,none,0.0,3,6,0.3333333333333333,medium,1.0,high,1.0,0,correct family / wrong asset,Runtime evidence is most consistent with false_data_injection. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T01:05:01+00:00.,Cross-check q_kvar against historian or device-side telemetry before changing control settings. | Hold operator action on bess48 until the measurement path is verified.,Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\gru__scn_fdi_pv35_qvar_step_bias.json
chatgpt,gru,scn_osc_cap_c90b_reactive_toggle,chatgpt__gru__scn_osc_cap_c90b_reactive_toggle,oscillatory_control,oscillatory_control,1,1,exact,c90b,bess48,none,0.0,3,6,0.3333333333333333,medium,1.0,high,1.0,0,correct family / wrong asset,Runtime evidence is most consistent with oscillatory_control. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T18:31:01+00:00.,Inspect repeated controller toggles and control-loop behavior around bess48. | Check whether bess48 is cycling between competing setpoints.,Top runtime family candidates are close (oscillatory_control vs command_suppression). Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\gru__scn_osc_cap_c90b_reactive_toggle.json
chatgpt,gru,scn_osc_sw3_state_dither,chatgpt__gru__scn_osc_sw3_state_dither,oscillatory_control,oscillatory_control,1,1,exact,sw3,bess48,none,0.0,3,6,0.0,low,1.0,high,1.0,0,correct family / wrong asset,Runtime evidence is most consistent with oscillatory_control. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T21:01:01+00:00.,Inspect repeated controller toggles and control-loop behavior around bess48. | Check whether bess48 is cycling between competing setpoints.,Top runtime family candidates are close (oscillatory_control vs command_suppression). Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\gru__scn_osc_sw3_state_dither.json
chatgpt,isolation_forest,scn_cmd_delay_pv60_curtailment_release,chatgpt__isolation_forest__scn_cmd_delay_pv60_curtailment_release,command_delay,command_suppression,0,0,nearest_valid_family,pv60,bess48,none,0.0,4,6,0.5,high,1.0,high,0.44999999999999996,0,wrong family / grounded evidence,Runtime evidence is most consistent with command_suppression. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T06:05:01+00:00.,"Verify write acknowledgements and local controller response on bess48. | Check whether recent writes were blocked, frozen, or left unapplied.",Top runtime family candidates are close (command_suppression vs oscillatory_control).,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\isolation_forest__scn_cmd_delay_pv60_curtailment_release.json
chatgpt,isolation_forest,scn_cmd_suppress_bess48_discharge_hold,chatgpt__isolation_forest__scn_cmd_suppress_bess48_discharge_hold,command_suppression,command_suppression,1,1,exact,bess48,bess48,exact,1.0,4,6,0.25,medium,1.0,high,1.0,0,correct family / partial evidence,Runtime evidence is most consistent with command_suppression. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T11:05:01+00:00.,"Verify write acknowledgements and local controller response on bess48. | Check whether recent writes were blocked, frozen, or left unapplied.",Top runtime family candidates are close (command_suppression vs oscillatory_control).,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\isolation_forest__scn_cmd_suppress_bess48_discharge_hold.json
chatgpt,isolation_forest,scn_coord_pv60_bess48_misaligned_support,chatgpt__isolation_forest__scn_coord_pv60_bess48_misaligned_support,coordinated_multi_asset,oscillatory_control,0,1,nearest_valid_family,bess48|pv60,bess108|bess48,partial,0.5,7,7,0.42857142857142855,medium,0.0,low,0.35714285714285715,0,wrong family / grounded evidence,"Runtime evidence is most consistent with oscillatory_control. Strongest localized evidence points to bess108, bess48. Detector crossed threshold at 2025-06-01T23:05:01+00:00.",Inspect repeated controller toggles and control-loop behavior around bess108. | Check whether bess108 is cycling between competing setpoints.,No major runtime contradiction was found.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\isolation_forest__scn_coord_pv60_bess48_misaligned_support.json
chatgpt,isolation_forest,scn_der_disconnect_pv83_status_trip,chatgpt__isolation_forest__scn_der_disconnect_pv83_status_trip,DER_disconnect,command_suppression,0,0,nearest_valid_family,pv83,bess48,none,0.0,4,7,0.5,high,0.5,medium,0.375,0,wrong family / grounded evidence,Runtime evidence is most consistent with command_suppression. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T13:35:01+00:00.,"Verify write acknowledgements and local controller response on bess48. | Check whether recent writes were blocked, frozen, or left unapplied.",Top runtime family candidates are close (command_suppression vs oscillatory_control).,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\isolation_forest__scn_der_disconnect_pv83_status_trip.json
chatgpt,isolation_forest,scn_fdi_bus150_voltage_dropout,chatgpt__isolation_forest__scn_fdi_bus150_voltage_dropout,false_data_injection,coordinated_multi_asset,0,1,none,bus150,bess108|bess48,none,0.0,3,6,0.0,low,1.0,high,0.0,1,unsupported claim,"Runtime evidence is most consistent with coordinated_multi_asset. Strongest localized evidence points to bess48, bess108. Detector crossed threshold at 2025-06-01T03:35:01+00:00.","Correlate commands and telemetry across bess48, bess108 before a corrective action. | Escalate cross-asset review instead of changing a single device in isolation.",No major runtime contradiction was found.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\isolation_forest__scn_fdi_bus150_voltage_dropout.json
chatgpt,isolation_forest,scn_fdi_pv35_qvar_step_bias,chatgpt__isolation_forest__scn_fdi_pv35_qvar_step_bias,false_data_injection,command_suppression,0,1,nearest_valid_family,pv35,bess48,none,0.0,3,5,0.0,low,0.5,medium,0.1,1,unsupported claim,Runtime evidence is most consistent with command_suppression. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T01:08:01+00:00.,"Verify write acknowledgements and local controller response on bess48. | Check whether recent writes were blocked, frozen, or left unapplied.",Top runtime family candidates are close (command_suppression vs oscillatory_control).,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\isolation_forest__scn_fdi_pv35_qvar_step_bias.json
chatgpt,isolation_forest,scn_osc_cap_c90b_reactive_toggle,chatgpt__isolation_forest__scn_osc_cap_c90b_reactive_toggle,oscillatory_control,command_suppression,0,1,none,c90b,bess48,none,0.0,3,6,0.3333333333333333,medium,0.5,medium,0.0,0,wrong family / grounded evidence,Runtime evidence is most consistent with command_suppression. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T18:35:01+00:00.,"Verify write acknowledgements and local controller response on bess48. | Check whether recent writes were blocked, frozen, or left unapplied.",Top runtime family candidates are close (command_suppression vs oscillatory_control).,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\isolation_forest__scn_osc_cap_c90b_reactive_toggle.json
chatgpt,isolation_forest,scn_osc_sw3_state_dither,chatgpt__isolation_forest__scn_osc_sw3_state_dither,oscillatory_control,oscillatory_control,1,1,exact,sw3,bess108|bess48,none,0.0,3,7,0.0,low,1.0,high,1.0,0,correct family / wrong asset,"Runtime evidence is most consistent with oscillatory_control. Strongest localized evidence points to bess108, bess48. Detector crossed threshold at 2025-06-01T21:05:01+00:00.",Inspect repeated controller toggles and control-loop behavior around bess108. | Check whether bess108 is cycling between competing setpoints.,No major runtime contradiction was found.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\isolation_forest__scn_osc_sw3_state_dither.json
chatgpt,lstm,scn_cmd_delay_pv60_curtailment_release,chatgpt__lstm__scn_cmd_delay_pv60_curtailment_release,command_delay,command_delay,1,1,exact,pv60,bess108|bess48,none,0.0,4,6,0.0,low,1.0,high,1.0,0,correct family / wrong asset,"Runtime evidence is most consistent with command_delay. Strongest localized evidence points to bess48, bess108. Detector crossed threshold at 2025-06-01T06:01:01+00:00.","Compare issue, acknowledgement, and execution timestamps for curtailment_frac on bess48. | Inspect controller queues and recent dispatch logs for bess48.",Constraints: Only coarse bess48-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\lstm__scn_cmd_delay_pv60_curtailment_release.json
chatgpt,lstm,scn_cmd_suppress_bess48_discharge_hold,chatgpt__lstm__scn_cmd_suppress_bess48_discharge_hold,command_suppression,command_suppression,1,1,exact,bess48,bess108|bess48,partial,0.5,4,6,0.25,medium,1.0,high,1.0,0,correct family / partial evidence,"Runtime evidence is most consistent with command_suppression. Strongest localized evidence points to bess48, bess108. Detector crossed threshold at 2025-06-01T11:01:01+00:00.","Verify write acknowledgements and local controller response on bess48. | Check whether recent writes were blocked, frozen, or left unapplied.",No major runtime contradiction was found.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\lstm__scn_cmd_suppress_bess48_discharge_hold.json
chatgpt,lstm,scn_coord_pv60_bess48_misaligned_support,chatgpt__lstm__scn_coord_pv60_bess48_misaligned_support,coordinated_multi_asset,oscillatory_control,0,0,nearest_valid_family,bess48|pv60,bess48,partial,0.5,7,5,0.25,medium,0.5,medium,0.3125,0,wrong family / grounded evidence,Runtime evidence is most consistent with oscillatory_control. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T23:01:01+00:00.,Inspect repeated controller toggles and control-loop behavior around bess48. | Check whether bess48 is cycling between competing setpoints.,Top runtime family candidates are close (oscillatory_control vs command_suppression). Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\lstm__scn_coord_pv60_bess48_misaligned_support.json
chatgpt,lstm,scn_der_disconnect_pv83_status_trip,chatgpt__lstm__scn_der_disconnect_pv83_status_trip,DER_disconnect,DER_disconnect,1,1,exact,pv83,bess48,none,0.0,4,6,0.0,low,1.0,high,1.0,0,correct family / wrong asset,Runtime evidence is most consistent with DER_disconnect. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T13:31:01+00:00.,"Inspect status, mode, and availability transitions for bess48. | Verify whether bess48 entered standby, trip, or a forced disconnect condition.",Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\lstm__scn_der_disconnect_pv83_status_trip.json
chatgpt,lstm,scn_fdi_bus150_voltage_dropout,chatgpt__lstm__scn_fdi_bus150_voltage_dropout,false_data_injection,false_data_injection,1,1,exact,bus150,bess108,none,0.0,3,6,0.3333333333333333,medium,1.0,high,1.0,0,correct family / wrong asset,Runtime evidence is most consistent with false_data_injection. Strongest localized evidence points to bess108. Detector crossed threshold at 2025-06-01T03:31:01+00:00.,Cross-check bus_150_v_pu_phase_c against historian or device-side telemetry before changing control settings. | Hold operator action on bess108 until the measurement path is verified.,No major runtime contradiction was found.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\lstm__scn_fdi_bus150_voltage_dropout.json
chatgpt,lstm,scn_fdi_pv35_qvar_step_bias,chatgpt__lstm__scn_fdi_pv35_qvar_step_bias,false_data_injection,false_data_injection,1,1,exact,pv35,bess48,none,0.0,3,6,0.3333333333333333,medium,1.0,high,1.0,0,correct family / wrong asset,Runtime evidence is most consistent with false_data_injection. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T01:04:01+00:00.,Cross-check q_kvar against historian or device-side telemetry before changing control settings. | Hold operator action on bess48 until the measurement path is verified.,Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\lstm__scn_fdi_pv35_qvar_step_bias.json
chatgpt,lstm,scn_osc_cap_c90b_reactive_toggle,chatgpt__lstm__scn_osc_cap_c90b_reactive_toggle,oscillatory_control,oscillatory_control,1,1,exact,c90b,bess48,none,0.0,3,6,0.3333333333333333,medium,1.0,high,1.0,0,correct family / wrong asset,Runtime evidence is most consistent with oscillatory_control. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T18:31:01+00:00.,Inspect repeated controller toggles and control-loop behavior around bess48. | Check whether bess48 is cycling between competing setpoints.,Top runtime family candidates are close (oscillatory_control vs command_suppression). Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\lstm__scn_osc_cap_c90b_reactive_toggle.json
chatgpt,lstm,scn_osc_sw3_state_dither,chatgpt__lstm__scn_osc_sw3_state_dither,oscillatory_control,oscillatory_control,1,1,exact,sw3,bess48,none,0.0,3,6,0.0,low,1.0,high,1.0,0,correct family / wrong asset,Runtime evidence is most consistent with oscillatory_control. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T21:01:01+00:00.,Inspect repeated controller toggles and control-loop behavior around bess48. | Check whether bess48 is cycling between competing setpoints.,Top runtime family candidates are close (oscillatory_control vs command_suppression). Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\lstm__scn_osc_sw3_state_dither.json
chatgpt,threshold_baseline,scn_cmd_delay_pv60_curtailment_release,chatgpt__threshold_baseline__scn_cmd_delay_pv60_curtailment_release,command_delay,command_delay,1,1,exact,pv60,bess108|bess48,none,0.0,4,6,0.0,low,1.0,high,1.0,0,correct family / wrong asset,"Runtime evidence is most consistent with command_delay. Strongest localized evidence points to bess48, bess108. Detector crossed threshold at 2025-06-01T06:01:01+00:00.","Compare issue, acknowledgement, and execution timestamps for curtailment_frac on bess48. | Inspect controller queues and recent dispatch logs for bess48.",Constraints: Only coarse bess48-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\threshold_baseline__scn_cmd_delay_pv60_curtailment_release.json
chatgpt,threshold_baseline,scn_cmd_suppress_bess48_discharge_hold,chatgpt__threshold_baseline__scn_cmd_suppress_bess48_discharge_hold,command_suppression,command_suppression,1,1,exact,bess48,bess108|bess48,partial,0.5,4,6,0.25,medium,1.0,high,1.0,0,correct family / partial evidence,"Runtime evidence is most consistent with command_suppression. Strongest localized evidence points to bess48, bess108. Detector crossed threshold at 2025-06-01T11:01:01+00:00.","Verify write acknowledgements and local controller response on bess48. | Check whether recent writes were blocked, frozen, or left unapplied.",No major runtime contradiction was found.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\threshold_baseline__scn_cmd_suppress_bess48_discharge_hold.json
chatgpt,threshold_baseline,scn_coord_pv60_bess48_misaligned_support,chatgpt__threshold_baseline__scn_coord_pv60_bess48_misaligned_support,coordinated_multi_asset,oscillatory_control,0,0,nearest_valid_family,bess48|pv60,bess48,partial,0.5,7,5,0.25,medium,0.5,medium,0.3125,0,wrong family / grounded evidence,Runtime evidence is most consistent with oscillatory_control. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T23:01:01+00:00.,Inspect repeated controller toggles and control-loop behavior around bess48. | Check whether bess48 is cycling between competing setpoints.,Top runtime family candidates are close (oscillatory_control vs command_suppression). Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\threshold_baseline__scn_coord_pv60_bess48_misaligned_support.json
chatgpt,threshold_baseline,scn_fdi_pv35_qvar_step_bias,chatgpt__threshold_baseline__scn_fdi_pv35_qvar_step_bias,false_data_injection,false_data_injection,1,1,exact,pv35,bess48,none,0.0,3,6,0.3333333333333333,medium,1.0,high,1.0,0,correct family / wrong asset,Runtime evidence is most consistent with false_data_injection. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T01:04:01+00:00.,Cross-check q_kvar against historian or device-side telemetry before changing control settings. | Hold operator action on bess48 until the measurement path is verified.,Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\threshold_baseline__scn_fdi_pv35_qvar_step_bias.json
chatgpt,transformer,scn_cmd_delay_pv60_curtailment_release,chatgpt__transformer__scn_cmd_delay_pv60_curtailment_release,command_delay,command_delay,1,1,exact,pv60,bess108|bess48,none,0.0,4,6,0.0,low,1.0,high,1.0,0,correct family / wrong asset,"Runtime evidence is most consistent with command_delay. Strongest localized evidence points to bess48, bess108. Detector crossed threshold at 2025-06-01T06:01:01+00:00.","Compare issue, acknowledgement, and execution timestamps for curtailment_frac on bess48. | Inspect controller queues and recent dispatch logs for bess48.",Constraints: Only coarse bess48-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\transformer__scn_cmd_delay_pv60_curtailment_release.json
chatgpt,transformer,scn_cmd_suppress_bess48_discharge_hold,chatgpt__transformer__scn_cmd_suppress_bess48_discharge_hold,command_suppression,command_suppression,1,1,exact,bess48,bess108|bess48,partial,0.5,4,6,0.25,medium,1.0,high,1.0,0,correct family / partial evidence,"Runtime evidence is most consistent with command_suppression. Strongest localized evidence points to bess48, bess108. Detector crossed threshold at 2025-06-01T11:01:01+00:00.","Verify write acknowledgements and local controller response on bess48. | Check whether recent writes were blocked, frozen, or left unapplied.",No major runtime contradiction was found.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\transformer__scn_cmd_suppress_bess48_discharge_hold.json
chatgpt,transformer,scn_coord_pv60_bess48_misaligned_support,chatgpt__transformer__scn_coord_pv60_bess48_misaligned_support,coordinated_multi_asset,oscillatory_control,0,0,nearest_valid_family,bess48|pv60,bess48,partial,0.5,7,5,0.25,medium,0.5,medium,0.3125,0,wrong family / grounded evidence,Runtime evidence is most consistent with oscillatory_control. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T23:01:01+00:00.,Inspect repeated controller toggles and control-loop behavior around bess48. | Check whether bess48 is cycling between competing setpoints.,Top runtime family candidates are close (oscillatory_control vs command_suppression). Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\transformer__scn_coord_pv60_bess48_misaligned_support.json
chatgpt,transformer,scn_der_disconnect_pv83_status_trip,chatgpt__transformer__scn_der_disconnect_pv83_status_trip,DER_disconnect,DER_disconnect,1,1,exact,pv83,bess48,none,0.0,4,6,0.0,low,1.0,high,1.0,0,correct family / wrong asset,Runtime evidence is most consistent with DER_disconnect. Strongest localized evidence points to bess48. Detector crossed threshold at 2025-06-01T13:31:01+00:00.,"Inspect status, mode, and availability transitions for bess48. | Verify whether bess48 entered standby, trip, or a forced disconnect condition.",Constraints: Only coarse feeder-level evidence was visible before v4 localization.,phase2_llm_benchmark\new_respnse_result\models\chatgpt\xai_v4\cases\transformer__scn_der_disconnect_pv83_status_trip.json
