dataset_id,source_bundle,path_role,generator_source,bundle_path,scenario_id,scenario_name,attack_family,raw_attack_family,affected_assets,affected_signals,target_component,target_asset,target_signal,severity,accepted_rejected,repair_applied,repair_origin_status,validation_notes,numeric_magnitude,magnitude_unit,observable_signal_count,additional_target_count,source_generator_bundle,replay_evaluated,replay_detected,replay_latency_seconds,replay_first_detection_time,replay_max_score,replay_mean_score,replay_positive_windows,replay_evaluation_dir,metadata_completeness_ratio,severity_numeric
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_coordinated_pv83_reg4a_disturbance,Coordinated PV83 Curtailment and Regulator Shift,coordinated_campaign,coordinated_campaign,"[""creg4a"", ""pv83""]","[""pv_pv83_curtailment_frac"", ""regulator_creg4a_vreg""]",pv,pv83,curtailment_frac,critical,accepted,False,,Canonical validated attacked bundle.,0.75,fraction,4,1,outputs/attacked/scenario_manifest.json,True,1,13.0,2025-06-01T13:00:13+00:00,0.04757288835682794,0.019592134096318006,90,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,1.0
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_degradation_bess108_status_loss,BESS108 Availability Degradation,degradation,degradation,"[""bess108""]","[""bess_bess108_status_cmd""]",bess,bess108,status_cmd,medium,accepted,False,,Canonical validated attacked bundle.,0.0,flag,3,0,outputs/attacked/scenario_manifest.json,True,1,1.0,2025-06-01T16:45:01+00:00,0.04731664025329801,0.014874781186927907,16,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,0.5
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_degradation_feeder_power_dropout,Feeder Power Telemetry Degradation,degradation,degradation,"[""feeder""]","[""feeder_p_kw_total""]",measured_layer,feeder,feeder_p_kw_total,medium,accepted,False,,Canonical validated attacked bundle.,,flag,1,0,outputs/attacked/scenario_manifest.json,True,1,1.0,2025-06-01T04:40:01+00:00,0.04760609700014997,0.005479139316848583,16,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,0.5
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_false_data_injection_bess48_soc_bias,BESS48 SOC Telemetry Bias,false_data_injection,false_data_injection,"[""bess48""]","[""bess_bess48_soc""]",measured_layer,bess48,soc,low,accepted,False,,Canonical validated attacked bundle.,-0.08,per_unit,3,0,outputs/attacked/scenario_manifest.json,True,1,1.0,2025-06-01T05:20:01+00:00,0.04757462934795871,0.005216092397296824,15,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,0.25
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_false_data_injection_pv60_voltage,PV60 False Voltage Telemetry Injection,false_data_injection,false_data_injection,"[""pv60""]","[""pv_pv60_terminal_v_pu""]",measured_layer,pv60,terminal_v_pu,medium,accepted,False,,Canonical validated attacked bundle.,0.025,pu,2,0,outputs/attacked/scenario_manifest.json,True,1,1.0,2025-06-01T01:00:01+00:00,0.04765160179267044,0.0054745348766591755,16,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,0.5
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_pv60_curtailment_inconsistency,PV60 Curtailment Inconsistency,telemetry_corruption,telemetry_corruption,"[""pv60""]","[""pv_pv60_curtailment_frac""]",pv,pv60,curtailment_frac,high,accepted,False,,Canonical validated attacked bundle.,0.65,fraction,4,0,outputs/attacked/scenario_manifest.json,True,1,13.0,2025-06-01T12:15:13+00:00,0.04765186085694057,0.022663782872639305,107,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,0.75
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_replay_bus83_voltage,Bus 83 Voltage Replay,replay,replay,"[""bus83""]","[""bus_83_v_pu_phase_a""]",measured_layer,bus83,bus_83_v_pu_phase_a,medium,accepted,False,,Canonical validated attacked bundle.,1.0,scale,2,0,outputs/attacked/scenario_manifest.json,True,1,1.0,2025-06-01T01:35:01+00:00,0.047649768452997135,0.005576839911612789,16,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,0.5
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_unauthorized_bess48_discharge,Unauthorized BESS48 Discharge Command,unauthorized_command,unauthorized_command,"[""bess48""]","[""bess_bess48_target_kw""]",bess,bess48,target_kw,high,accepted,False,,Canonical validated attacked bundle.,420.0,kW,3,0,outputs/attacked/scenario_manifest.json,True,1,1.0,2025-06-01T02:00:01+00:00,0.04768819291951287,0.01547912695454257,63,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,0.75
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_unauthorized_capacitor_c83_drop,Unauthorized C83 Capacitor Dropout,unauthorized_command,unauthorized_command,"[""c83""]","[""capacitor_c83_state""]",capacitor,c83,state,medium,accepted,False,,Canonical validated attacked bundle.,0.0,state,3,0,outputs/attacked/scenario_manifest.json,True,1,13.0,2025-06-01T10:30:13+00:00,0.04758456907930243,0.005176789904635566,15,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,0.5
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,heldout replay path,chatgpt,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,scn_cmd_delay_creg4b_vreg_ramp,Delayed CREG4B Voltage Regulation Ramp,command_delay,command_delay,"[""creg4b""]","[""vreg"", ""regulator_creg4b_tap_pos"", ""bus_150_v_pu_phase_a"", ""bus_150_v_pu_phase_b"", ""bus_150_v_pu_phase_c""]",regulator,creg4b,vreg,,rejected,False,,"scn_cmd_delay_creg4b_vreg_ramp: magnitude.value=2.5 is outside bounds [110.0, 130.0] for creg4b:vreg.; scn_cmd_delay_creg4b_vreg_ramp: canonical Phase-2 validation failed: Scenario scn_cmd_delay_creg4b_vreg_ramp magnitude 2.5 for creg4b:vreg is outside bounds [110.0, 130.0].",2.5,V,4,0,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,False,,,,,,,,0.9166666666666666,
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,heldout replay path,chatgpt,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,scn_cmd_delay_pv60_curtailment_release,Delayed PV60 Curtailment Release,command_delay,command_delay,"[""pv60""]","[""pv_pv60_curtailment_frac""]",pv,pv60,curtailment_frac,high,accepted,False,,Accepted after canonical validation.,0.3,fraction,4,0,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,True,1,1.0,2025-06-01T06:00:01+00:00,0.04692250994034718,0.010615552527772722,36,outputs\window_size_study\improved_phase3\evaluations\chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c,1.0,0.75
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,heldout replay path,chatgpt,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,scn_cmd_suppress_bess48_discharge_hold,BESS48 Discharge Suppression Hold,command_suppression,command_suppression,"[""bess48""]","[""bess_bess48_target_kw""]",bess,bess48,target_kw,critical,accepted,False,,Accepted after canonical validation.,180.0,kW,4,0,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,True,1,1.0,2025-06-01T11:00:01+00:00,0.04768990800428369,0.014995154098474682,58,outputs\window_size_study\improved_phase3\evaluations\chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c,1.0,1.0
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,heldout replay path,chatgpt,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,scn_coord_pv60_bess48_misaligned_support,PV60 Curtailment Increase with Delayed BESS48 Support,coordinated_campaign,coordinated_multi_asset,"[""bess48"", ""pv60""]","[""bess_bess48_target_kw"", ""pv_pv60_curtailment_frac""]",pv,pv60,curtailment_frac,high,accepted,False,,Accepted after canonical validation.,0.35,fraction,7,1,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,True,1,1.0,2025-06-01T23:00:01+00:00,0.047208697367415786,0.016345412694160018,72,outputs\window_size_study\improved_phase3\evaluations\chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c,1.0,0.75
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,heldout replay path,chatgpt,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,scn_der_disconnect_bess108_standby_ramp,BESS108 Standby Transition,degradation,DER_disconnect,"[""bess108""]","[""mode_cmd"", ""bess_bess108_p_kw"", ""bess_bess108_mode"", ""bess_bess108_soc"", ""bus_108_v_pu_phase_a"", ""feeder_p_kw_total""]",bess,bess108,mode_cmd,,rejected,False,,scn_der_disconnect_bess108_standby_ramp: bess108:mode_cmd requires magnitude.text from the shared allowed_text list.; scn_der_disconnect_bess108_standby_ramp: canonical Phase-2 validation failed: Scenario scn_der_disconnect_bess108_standby_ramp uses invalid text value None for bess108:mode_cmd.,1.0,mode_step,5,0,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,False,,,,,,,,0.9166666666666666,
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,heldout replay path,chatgpt,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,scn_der_disconnect_pv83_status_trip,PV83 Availability Loss,degradation,DER_disconnect,"[""pv83""]","[""pv_pv83_status_cmd""]",pv,pv83,status_cmd,critical,accepted,False,,Accepted after canonical validation.,1.0,state,4,0,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,True,1,1.0,2025-06-01T13:30:01+00:00,0.047625542780138225,0.005480627446790066,16,outputs\window_size_study\improved_phase3\evaluations\chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c,1.0,1.0
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,heldout replay path,chatgpt,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,scn_fdi_bus150_voltage_dropout,Bus150 Phase-C Voltage Dropout,false_data_injection,false_data_injection,"[""bus150""]","[""bus_150_v_pu_phase_c""]",measured_layer,bus150,bus_150_v_pu_phase_c,critical,accepted,False,,Accepted after canonical validation.,1.0,scale,3,0,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,True,1,1.0,2025-06-01T03:30:01+00:00,0.04766215476232704,0.0056115910260899045,16,outputs\window_size_study\improved_phase3\evaluations\chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c,1.0,1.0
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,heldout replay path,chatgpt,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,scn_fdi_pv35_qvar_step_bias,PV35 Reactive Power Step Bias,false_data_injection,false_data_injection,"[""pv35""]","[""pv_pv35_q_kvar""]",measured_layer,pv35,q_kvar,critical,accepted,False,,Accepted after canonical validation.,70.0,kvar,3,0,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,True,1,1.0,2025-06-01T01:03:01+00:00,0.047645225247819084,0.0057146408312662034,16,outputs\window_size_study\improved_phase3\evaluations\chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c,1.0,1.0
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,heldout replay path,chatgpt,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,scn_osc_cap_c90b_reactive_toggle,C90B Repetitive Capacitor Toggling,unauthorized_command,oscillatory_control,"[""c90b""]","[""capacitor_c90b_state""]",capacitor,c90b,state,critical,accepted,False,,Accepted after canonical validation.,1.0,state,3,0,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,True,1,1.0,2025-06-01T18:30:01+00:00,0.04765629504898799,0.005398582649560948,16,outputs\window_size_study\improved_phase3\evaluations\chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c,1.0,1.0
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,heldout replay path,chatgpt,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,scn_osc_sw3_state_dither,SW3 State Dither,unauthorized_command,oscillatory_control,"[""sw3""]","[""switch_sw3_state""]",switch,sw3,state,critical,accepted,False,,Accepted after canonical validation.,1.0,state,3,0,phase2_llm_benchmark\heldout_llm_response\chatgpt\new_respnse.json,True,1,1.0,2025-06-01T21:00:01+00:00,0.04766602175071149,0.005766599402640963,16,outputs\window_size_study\improved_phase3\evaluations\chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c,1.0,1.0
claude_phase2_llm_benchmark_v2,heldout_original_claude,heldout replay path,claude,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,scn_cmd_delay_bess108_target_kw_ramp,BESS108 Discharge Ramp Command Delay,command_delay,command_delay,"[""bess108""]","[""bess_bess108_target_kw""]",bess,bess108,target_kw,critical,accepted,False,,Accepted after canonical validation.,280.0,kW,5,0,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,True,1,1.0,2025-06-01T06:30:01+00:00,0.04765467079382595,0.008274798543302146,17,outputs\window_size_study\improved_phase3\evaluations\claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2,1.0,1.0
claude_phase2_llm_benchmark_v2,heldout_original_claude,heldout replay path,claude,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,scn_cmd_delay_creg4b_vreg_step,Regulator creg4b Tap Command Step Delay,command_delay,command_delay,"[""creg4b""]","[""vreg"", ""regulator_creg4b_tap_pos"", ""regulator_creg4c_tap_pos"", ""bus_108_v_pu_phase_b"", ""bus_108_v_pu_phase_c"", ""derived_voltage_violation_count""]",regulator,creg4b,vreg,,rejected,False,,"scn_cmd_delay_creg4b_vreg_step: magnitude.value=3.0 is outside bounds [110.0, 130.0] for creg4b:vreg.; scn_cmd_delay_creg4b_vreg_step: canonical Phase-2 validation failed: Scenario scn_cmd_delay_creg4b_vreg_step magnitude 3.0 for creg4b:vreg is outside bounds [110.0, 130.0].",3.0,V,5,0,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,False,,,,,,,,0.9166666666666666,
claude_phase2_llm_benchmark_v2,heldout_original_claude,heldout replay path,claude,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,scn_cmd_suppression_pv60_status_freeze,PV60 Status Command Suppression Freeze,command_suppression,command_suppression,"[""pv60""]","[""pv_pv60_status_cmd""]",pv,pv60,status_cmd,critical,accepted,False,,Accepted after canonical validation.,1.0,flag,5,0,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,True,1,1.0,2025-06-01T15:00:01+00:00,0.047650535657641914,0.0049058293981012096,16,outputs\window_size_study\improved_phase3\evaluations\claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2,1.0,1.0
claude_phase2_llm_benchmark_v2,heldout_original_claude,heldout replay path,claude,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,scn_coordinated_pv83_bess48_evening_ramp_disruption,Coordinated PV83 Curtailment Override and BESS48 Charge Suppression at Evening Ramp,coordinated_campaign,coordinated_multi_asset,"[""pv83"", ""bess48""]","[""curtailment_frac"", ""target_kw"", ""pv_pv83_curtailment_frac"", ""pv_pv83_p_kw"", ""pv_pv83_q_kvar"", ""bess_bess48_p_kw"", ""bess_bess48_soc"", ""bus_83_v_pu_phase_a"", ""feeder_p_kw_total"", ""derived_feeder_ramp_kw_per_s"", ""derived_feeder_power_ma_60s_kw"", ""derived_voltage_violation_count""]",pv,pv83,curtailment_frac,,rejected,False,,scn_coordinated_pv83_bess48_evening_ramp_disruption.additional_targets[0]: injection_type=command_suppression is not allowed for family=coordinated_multi_asset.,0.85,fraction,10,1,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,False,,,,,,,,0.9166666666666666,
claude_phase2_llm_benchmark_v2,heldout_original_claude,heldout replay path,claude,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,scn_der_disconnect_bess108_mode_standby,BESS108 Forced Standby Mode Disconnect,degradation,DER_disconnect,"[""bess108""]","[""mode_cmd"", ""bess_bess108_p_kw"", ""bess_bess108_q_kvar"", ""bess_bess108_soc"", ""bess_bess108_mode"", ""bus_108_v_pu_phase_a"", ""feeder_p_kw_total"", ""derived_voltage_violation_count""]",bess,bess108,mode_cmd,,rejected,False,,scn_der_disconnect_bess108_mode_standby: bess108:mode_cmd requires magnitude.text from the shared allowed_text list.; scn_der_disconnect_bess108_mode_standby: canonical Phase-2 validation failed: Scenario scn_der_disconnect_bess108_mode_standby uses invalid text value None for bess108:mode_cmd.,1.0,flag,7,0,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,False,,,,,,,,0.9166666666666666,
claude_phase2_llm_benchmark_v2,heldout_original_claude,heldout replay path,claude,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,scn_fdi_bess48_terminal_i_stale_replay,BESS48 Terminal Current Replay Stale Injection,false_data_injection,false_data_injection,"[""bess48""]","[""bess_bess48_terminal_i_a""]",measured_layer,bess48,terminal_i_a,critical,accepted,False,,Accepted after canonical validation.,1.0,scale,5,0,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,True,1,1.0,2025-06-01T04:15:01+00:00,0.047629914887572115,0.005241529407164334,16,outputs\window_size_study\improved_phase3\evaluations\claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2,1.0,1.0
claude_phase2_llm_benchmark_v2,heldout_original_claude,heldout replay path,claude,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,scn_fdi_bus114_vpu_phase_a_dropout,Bus 114 Phase-A Voltage Telemetry Dropout,false_data_injection,false_data_injection,"[""bus114""]","[""bus_114_v_pu_phase_a""]",measured_layer,bus114,bus_114_v_pu_phase_a,low,accepted,False,,Accepted after canonical validation.,0.0,flag,5,0,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,True,1,1.0,2025-06-01T08:30:01+00:00,0.04765526867304543,0.005745309027930116,16,outputs\window_size_study\improved_phase3\evaluations\claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2,1.0,0.25
claude_phase2_llm_benchmark_v2,heldout_original_claude,heldout replay path,claude,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,scn_fdi_bus150_vpu_phase_c_ramp_bias,Bus 150 Phase-C Voltage Ramp Bias Injection,false_data_injection,false_data_injection,"[""bus150""]","[""bus_150_v_pu_phase_c""]",measured_layer,bus150,bus_150_v_pu_phase_c,low,accepted,False,,Accepted after canonical validation.,0.018,pu,5,0,phase2_llm_benchmark\heldout_llm_response\claude\new_respnse.json,True,1,1.0,2025-06-01T00:45:01+00:00,0.04764282429024552,0.005355480799384741,16,outputs\window_size_study\improved_phase3\evaluations\claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2,1.0,0.25
