generator_source,window_label,window_seconds,model_name,attack_family,scenario_count,mean_precision,mean_recall,mean_f1,detection_rate,mean_latency_seconds
human_authored,10s,10,isolation_forest,command_delay,1,0.1910313901345291,1.0,0.3207831325301205,1.0,1.0
chatgpt,10s,10,isolation_forest,command_suppression,1,0.2323404255319149,1.0,0.3770718232044199,1.0,1.0
claude,10s,10,isolation_forest,command_suppression,1,0.2696356275303643,1.0,0.4247448979591837,1.0,1.0
gemini,10s,10,isolation_forest,command_suppression,1,0.3343173431734317,1.0,0.5011061946902655,1.0,1.0
grok,10s,10,isolation_forest,command_suppression,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
human_authored,10s,10,isolation_forest,command_suppression,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
chatgpt,10s,10,isolation_forest,coordinated_campaign,1,0.2869565217391304,1.0,0.4459459459459459,1.0,1.0
grok,10s,10,isolation_forest,coordinated_campaign,1,0.0238095238095238,0.0363036303630363,0.0287581699346405,1.0,1.0
human_authored,10s,10,isolation_forest,coordinated_campaign,1,0.0594989561586638,0.1258278145695364,0.0807937632884479,1.0,1.0
chatgpt,10s,10,isolation_forest,degradation,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
gemini,10s,10,isolation_forest,degradation,2,0.23183967819674206,1.0,0.37600042807237477,1.0,1.0
grok,10s,10,isolation_forest,degradation,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
human_authored,10s,10,isolation_forest,degradation,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
chatgpt,10s,10,isolation_forest,false_data_injection,2,0.1067336683417085,1.0,0.19262079831932766,1.0,1.0
claude,10s,10,isolation_forest,false_data_injection,4,0.14329058032199804,1.0,0.24866706557295104,1.0,1.0
gemini,10s,10,isolation_forest,false_data_injection,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
grok,10s,10,isolation_forest,false_data_injection,3,0.11989832820152503,0.6666666666666666,0.20314222188438294,0.6666666666666666,1.0
human_authored,10s,10,isolation_forest,false_data_injection,1,0.12,1.0,0.2142857142857142,1.0,1.0
chatgpt,10s,10,isolation_forest,unauthorized_command,2,0.1310654655767315,1.0,0.22979970773798475,1.0,1.0
claude,10s,10,isolation_forest,unauthorized_command,1,0.2869565217391304,1.0,0.4459459459459459,1.0,1.0
gemini,10s,10,isolation_forest,unauthorized_command,1,0.4006644518272425,1.0,0.5721062618595826,1.0,1.0
grok,10s,10,isolation_forest,unauthorized_command,2,0.1067336683417085,1.0,0.19262079831932766,1.0,1.0
human_authored,10s,10,isolation_forest,unauthorized_command,1,0.2514522821576763,1.0,0.4018567639257294,1.0,1.0
chatgpt,10s,10,lstm,command_delay,1,0.1910313901345291,1.0,0.3207831325301205,1.0,1.0
claude,10s,10,lstm,command_delay,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
grok,10s,10,lstm,command_delay,1,0.2323404255319149,1.0,0.3770718232044199,1.0,1.0
human_authored,10s,10,lstm,command_delay,1,0.1910313901345291,1.0,0.3207831325301205,1.0,1.0
chatgpt,10s,10,lstm,command_suppression,1,0.2323404255319149,1.0,0.3770718232044199,1.0,1.0
claude,10s,10,lstm,command_suppression,1,0.2696356275303643,1.0,0.4247448979591837,1.0,1.0
gemini,10s,10,lstm,command_suppression,1,0.3343173431734317,1.0,0.5011061946902655,1.0,1.0
grok,10s,10,lstm,command_suppression,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
human_authored,10s,10,lstm,command_suppression,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
chatgpt,10s,10,lstm,coordinated_campaign,1,0.2869565217391304,1.0,0.4459459459459459,1.0,1.0
grok,10s,10,lstm,coordinated_campaign,1,0.7849740932642487,1.0,0.8795355587808418,1.0,3.0
human_authored,10s,10,lstm,coordinated_campaign,1,0.3343173431734317,1.0,0.5011061946902655,1.0,1.0
chatgpt,10s,10,lstm,degradation,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
gemini,10s,10,lstm,degradation,2,0.12572614107883814,0.5,0.2009283819628647,0.5,1.0
grok,10s,10,lstm,degradation,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
human_authored,10s,10,lstm,degradation,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
chatgpt,10s,10,lstm,false_data_injection,2,0.1067336683417085,1.0,0.19262079831932766,1.0,1.0
claude,10s,10,lstm,false_data_injection,4,0.14329058032199804,1.0,0.24866706557295104,1.0,1.0
gemini,10s,10,lstm,false_data_injection,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
grok,10s,10,lstm,false_data_injection,3,0.11989832820152503,0.6666666666666666,0.20314222188438294,0.6666666666666666,1.0
human_authored,10s,10,lstm,false_data_injection,1,0.12,1.0,0.2142857142857142,1.0,1.0
chatgpt,10s,10,lstm,unauthorized_command,2,0.1310654655767315,1.0,0.22979970773798475,1.0,1.0
claude,10s,10,lstm,unauthorized_command,1,0.288095238095238,1.0,0.4473197781885397,1.0,1.0
gemini,10s,10,lstm,unauthorized_command,1,0.4643705463182898,0.648424543946932,0.5411764705882353,1.0,1.0
grok,10s,10,lstm,unauthorized_command,2,0.06978260869565214,0.5483870967741935,0.12341772151898729,1.0,1.0
human_authored,10s,10,lstm,unauthorized_command,1,0.2514522821576763,1.0,0.4018567639257294,1.0,1.0
chatgpt,10s,10,threshold_baseline,command_delay,1,1.0,1.0,1.0,1.0,3.0
claude,10s,10,threshold_baseline,command_delay,1,0.6363636363636364,0.0288065843621399,0.0551181102362204,1.0,83.0
grok,10s,10,threshold_baseline,command_delay,1,0.0,0.0,0.0,0.0,
human_authored,10s,10,threshold_baseline,command_delay,1,0.0,0.0,0.0,0.0,
chatgpt,10s,10,threshold_baseline,command_suppression,1,0.0,0.0,0.0,0.0,
claude,10s,10,threshold_baseline,command_suppression,1,0.0,0.0,0.0,0.0,
gemini,10s,10,threshold_baseline,command_suppression,1,0.0,0.0,0.0,1.0,1559.0
grok,10s,10,threshold_baseline,command_suppression,1,0.0,0.0,0.0,0.0,
human_authored,10s,10,threshold_baseline,command_suppression,1,0.0,0.0,0.0,0.0,
chatgpt,10s,10,threshold_baseline,coordinated_campaign,1,0.9972527472527472,1.0,0.998624484181568,1.0,3.0
grok,10s,10,threshold_baseline,coordinated_campaign,1,0.2737127371273712,1.0,0.4297872340425532,1.0,3.0
human_authored,10s,10,threshold_baseline,coordinated_campaign,1,0.9955654101995566,0.9911699779249448,0.9933628318584072,1.0,11.0
chatgpt,10s,10,threshold_baseline,degradation,1,0.0,0.0,0.0,0.0,
gemini,10s,10,threshold_baseline,degradation,2,0.4999057315233786,0.5020576131687242,0.5004187901932113,1.0,27.0
grok,10s,10,threshold_baseline,degradation,1,0.0,0.0,0.0,0.0,
human_authored,10s,10,threshold_baseline,degradation,1,0.0,0.0,0.0,0.0,
chatgpt,10s,10,threshold_baseline,false_data_injection,2,0.0,0.0,0.0,0.0,
claude,10s,10,threshold_baseline,false_data_injection,4,0.0,0.0,0.0,0.0,
gemini,10s,10,threshold_baseline,false_data_injection,1,0.0,0.0,0.0,0.0,
grok,10s,10,threshold_baseline,false_data_injection,3,0.04423076923076923,0.3333333333333333,0.07809847198641763,0.3333333333333333,1.0
human_authored,10s,10,threshold_baseline,false_data_injection,1,0.0,0.0,0.0,0.0,
chatgpt,10s,10,threshold_baseline,unauthorized_command,2,0.0,0.0,0.0,0.0,
claude,10s,10,threshold_baseline,unauthorized_command,1,0.4452644526445264,0.9972451790633609,0.6156462585034014,1.0,5.0
gemini,10s,10,threshold_baseline,unauthorized_command,1,0.1287128712871287,0.0215588723051409,0.0369318181818181,1.0,355.0
grok,10s,10,threshold_baseline,unauthorized_command,2,0.09615384615384615,0.0268817204301075,0.04201680672268905,0.5,63.0
human_authored,10s,10,threshold_baseline,unauthorized_command,1,0.0,0.0,0.0,0.0,
chatgpt,10s,10,transformer,command_delay,1,0.1910313901345291,1.0,0.3207831325301205,1.0,1.0
claude,10s,10,transformer,command_delay,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
grok,10s,10,transformer,command_delay,1,0.2323404255319149,1.0,0.3770718232044199,1.0,1.0
human_authored,10s,10,transformer,command_delay,1,0.1910313901345291,1.0,0.3207831325301205,1.0,1.0
chatgpt,10s,10,transformer,command_suppression,1,0.2323404255319149,1.0,0.3770718232044199,1.0,1.0
claude,10s,10,transformer,command_suppression,1,0.2696356275303643,1.0,0.4247448979591837,1.0,1.0
gemini,10s,10,transformer,command_suppression,1,0.3343173431734317,1.0,0.5011061946902655,1.0,1.0
grok,10s,10,transformer,command_suppression,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
human_authored,10s,10,transformer,command_suppression,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
chatgpt,10s,10,transformer,coordinated_campaign,1,0.4373493975903614,1.0,0.6085498742665549,1.0,1.0
grok,10s,10,transformer,coordinated_campaign,1,0.3307860262008734,1.0,0.4971287940935193,1.0,1.0
human_authored,10s,10,transformer,coordinated_campaign,1,0.3343173431734317,1.0,0.5011061946902655,1.0,1.0
chatgpt,10s,10,transformer,degradation,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
gemini,10s,10,transformer,degradation,2,0.24177198635104444,1.0,0.3893004749861205,1.0,1.0
grok,10s,10,transformer,degradation,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
human_authored,10s,10,transformer,degradation,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
chatgpt,10s,10,transformer,false_data_injection,2,0.1067336683417085,1.0,0.19262079831932766,1.0,1.0
claude,10s,10,transformer,false_data_injection,4,0.14329058032199804,1.0,0.24866706557295104,1.0,1.0
gemini,10s,10,transformer,false_data_injection,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
grok,10s,10,transformer,false_data_injection,3,0.16412909743229429,1.0,0.2812406938708006,1.0,1.0
human_authored,10s,10,transformer,false_data_injection,1,0.12,1.0,0.2142857142857142,1.0,1.0
chatgpt,10s,10,transformer,unauthorized_command,2,0.1295273778699231,0.9890710382513661,0.22709186522710345,1.0,1.0
claude,10s,10,transformer,unauthorized_command,1,0.3392523364485981,1.0,0.5066294487090021,1.0,1.0
gemini,10s,10,transformer,unauthorized_command,1,0.4624553039332538,0.6434494195688225,0.5381414701803051,1.0,1.0
grok,10s,10,transformer,unauthorized_command,2,0.06330396475770925,0.5161290322580645,0.11262731783755545,1.0,1.0
human_authored,10s,10,transformer,unauthorized_command,1,0.2514522821576763,1.0,0.4018567639257294,1.0,1.0
chatgpt,60s,60,autoencoder,command_delay,1,0.25,1.0,0.4,1.0,1.0
claude,60s,60,autoencoder,command_delay,1,0.3307692307692307,1.0,0.4971098265895953,1.0,1.0
grok,60s,60,autoencoder,command_delay,1,0.676056338028169,1.0,0.8067226890756303,1.0,1.0
human_authored,60s,60,autoencoder,command_delay,1,0.5671641791044776,1.0,0.7238095238095238,1.0,1.0
chatgpt,60s,60,autoencoder,command_suppression,1,0.2580645161290322,1.0,0.4102564102564102,1.0,1.0
claude,60s,60,autoencoder,command_suppression,1,0.3293413173652694,0.9482758620689656,0.4888888888888889,1.0,1.0
gemini,60s,60,autoencoder,command_suppression,1,0.40625,1.0,0.5777777777777777,1.0,1.0
grok,60s,60,autoencoder,command_suppression,1,0.1785714285714285,0.1785714285714285,0.1785714285714285,1.0,1.0
human_authored,60s,60,autoencoder,command_suppression,1,0.3,0.75,0.4285714285714285,1.0,1.0
chatgpt,60s,60,autoencoder,coordinated_campaign,1,0.2930232558139535,1.0,0.4532374100719424,1.0,1.0
grok,60s,60,autoencoder,coordinated_campaign,1,0.2585365853658536,1.0,0.4108527131782946,1.0,1.0
human_authored,60s,60,autoencoder,coordinated_campaign,1,0.3391304347826087,1.0,0.5064935064935064,1.0,1.0
chatgpt,60s,60,autoencoder,degradation,1,0.1728395061728395,1.0,0.2947368421052631,1.0,1.0
gemini,60s,60,autoencoder,degradation,2,0.2643261776982707,1.0,0.41622782446311857,1.0,1.0
grok,60s,60,autoencoder,degradation,1,0.2575757575757575,0.3953488372093023,0.3119266055045872,1.0,1.0
human_authored,60s,60,autoencoder,degradation,1,0.2087912087912088,0.8837209302325582,0.3377777777777778,1.0,1.0
chatgpt,60s,60,autoencoder,false_data_injection,2,0.404040404040404,0.1980676328502415,0.2657952069716775,1.0,1.0
claude,60s,60,autoencoder,false_data_injection,4,0.31590696587190276,0.3478752051406513,0.24176620609882848,1.0,1.0
gemini,60s,60,autoencoder,false_data_injection,1,0.4,0.1428571428571428,0.2105263157894736,1.0,1.0
grok,60s,60,autoencoder,false_data_injection,3,0.20714562461947192,0.6834130781499203,0.2628149792411723,1.0,1.0
human_authored,60s,60,autoencoder,false_data_injection,1,0.5555555555555556,0.217391304347826,0.3125,1.0,1.0
chatgpt,60s,60,autoencoder,unauthorized_command,2,0.15416817033561886,1.0,0.26411202778983933,1.0,1.0
claude,60s,60,autoencoder,unauthorized_command,1,0.4405594405594406,1.0,0.6116504854368932,1.0,1.0
gemini,60s,60,autoencoder,unauthorized_command,1,0.4153225806451613,1.0,0.5868945868945868,1.0,1.0
grok,60s,60,autoencoder,unauthorized_command,2,0.1317296102852551,0.9130434782608696,0.2292589763177998,1.0,1.0
human_authored,60s,60,autoencoder,unauthorized_command,1,0.3231707317073171,1.0,0.488479262672811,1.0,1.0
chatgpt,60s,60,gru,command_delay,1,1.0,0.0263157894736842,0.0512820512820512,1.0,25.0
claude,60s,60,gru,command_delay,1,1.0,0.3023255813953488,0.4642857142857143,1.0,13.0
grok,60s,60,gru,command_delay,1,0.7164179104477612,1.0,0.8347826086956521,1.0,13.0
human_authored,60s,60,gru,command_delay,1,0.7307692307692307,1.0,0.8444444444444444,1.0,13.0
chatgpt,60s,60,gru,command_suppression,1,0.9230769230769232,1.0,0.96,1.0,13.0
claude,60s,60,gru,command_suppression,1,1.0,0.2413793103448276,0.3888888888888889,1.0,13.0
gemini,60s,60,gru,command_suppression,1,0.9069767441860463,1.0,0.951219512195122,1.0,13.0
grok,60s,60,gru,command_suppression,1,1.0,0.5357142857142857,0.6976744186046512,1.0,13.0
human_authored,60s,60,gru,command_suppression,1,1.0,0.5357142857142857,0.6976744186046512,1.0,13.0
chatgpt,60s,60,gru,coordinated_campaign,1,0.5,0.0634920634920634,0.1126760563380281,1.0,1.0
grok,60s,60,gru,coordinated_campaign,1,1.0,0.1698113207547169,0.2903225806451613,1.0,25.0
human_authored,60s,60,gru,coordinated_campaign,1,0.75,0.0384615384615384,0.073170731707317,1.0,1.0
chatgpt,60s,60,gru,degradation,1,1.0,0.4642857142857143,0.6341463414634146,1.0,13.0
gemini,60s,60,gru,degradation,2,1.0,0.13361123299692845,0.23531420765027317,1.0,31.0
grok,60s,60,gru,degradation,1,1.0,0.3488372093023256,0.5172413793103449,1.0,13.0
human_authored,60s,60,gru,degradation,1,1.0,0.3255813953488372,0.4912280701754385,1.0,13.0
chatgpt,60s,60,gru,false_data_injection,2,1.0,0.6932367149758454,0.8158783783783784,1.0,13.0
claude,60s,60,gru,false_data_injection,4,1.0,0.5513631740748446,0.6983847933642193,1.0,13.0
gemini,60s,60,gru,false_data_injection,1,1.0,0.5,0.6666666666666666,1.0,13.0
grok,60s,60,gru,false_data_injection,3,1.0,0.30873512452459817,0.44463162623539976,1.0,21.0
human_authored,60s,60,gru,false_data_injection,1,1.0,0.6086956521739131,0.7567567567567568,1.0,13.0
chatgpt,60s,60,gru,unauthorized_command,2,1.0,0.6287878787878788,0.7524177949709865,1.0,13.0
claude,60s,60,gru,unauthorized_command,1,0.0,0.0,0.0,0.0,
gemini,60s,60,gru,unauthorized_command,1,1.0,0.0776699029126213,0.1441441441441441,1.0,13.0
grok,60s,60,gru,unauthorized_command,2,1.0,0.23188405797101447,0.36538461538461536,1.0,19.0
human_authored,60s,60,gru,unauthorized_command,1,1.0,0.2641509433962264,0.417910447761194,1.0,13.0
chatgpt,60s,60,isolation_forest,command_delay,1,0.2,1.0,0.3333333333333333,1.0,1.0
claude,60s,60,isolation_forest,command_delay,1,0.2205128205128205,1.0,0.361344537815126,1.0,1.0
grok,60s,60,isolation_forest,command_delay,1,0.24,1.0,0.3870967741935484,1.0,1.0
human_authored,60s,60,isolation_forest,command_delay,1,0.2,1.0,0.3333333333333333,1.0,1.0
chatgpt,60s,60,isolation_forest,command_suppression,1,0.24,1.0,0.3870967741935484,1.0,1.0
claude,60s,60,isolation_forest,command_suppression,1,0.2761904761904762,1.0,0.4328358208955223,1.0,1.0
gemini,60s,60,isolation_forest,command_suppression,1,0.3391304347826087,1.0,0.5064935064935064,1.0,1.0
grok,60s,60,isolation_forest,command_suppression,1,0.1555555555555555,1.0,0.2692307692307692,1.0,1.0
human_authored,60s,60,isolation_forest,command_suppression,1,0.1555555555555555,1.0,0.2692307692307692,1.0,1.0
chatgpt,60s,60,isolation_forest,coordinated_campaign,1,0.2930232558139535,1.0,0.4532374100719424,1.0,1.0
grok,60s,60,isolation_forest,coordinated_campaign,1,0.0,0.0,0.0,0.0,
human_authored,60s,60,isolation_forest,coordinated_campaign,1,0.0390625,0.0641025641025641,0.0485436893203883,1.0,1.0
chatgpt,60s,60,isolation_forest,degradation,1,0.1555555555555555,1.0,0.2692307692307692,1.0,1.0
gemini,60s,60,isolation_forest,degradation,2,0.23751571536333915,0.9883720930232558,0.382641546462565,1.0,1.0
grok,60s,60,isolation_forest,degradation,1,0.2205128205128205,1.0,0.361344537815126,1.0,1.0
human_authored,60s,60,isolation_forest,degradation,1,0.2205128205128205,1.0,0.361344537815126,1.0,1.0
chatgpt,60s,60,isolation_forest,false_data_injection,2,0.1186554621848739,1.0,0.21190629701267993,1.0,1.0
claude,60s,60,isolation_forest,false_data_injection,4,0.15392232568703154,1.0,0.2649745552341687,1.0,1.0
gemini,60s,60,isolation_forest,false_data_injection,1,0.1555555555555555,1.0,0.2692307692307692,1.0,1.0
grok,60s,60,isolation_forest,false_data_injection,3,0.12612612612612614,0.6666666666666666,0.21202854230377163,0.6666666666666666,1.0
human_authored,60s,60,isolation_forest,false_data_injection,1,0.1314285714285714,1.0,0.2323232323232323,1.0,1.0
chatgpt,60s,60,isolation_forest,unauthorized_command,2,0.14213036565977738,1.0,0.2471208276400546,1.0,1.0
claude,60s,60,isolation_forest,unauthorized_command,1,0.2930232558139535,1.0,0.4532374100719424,1.0,1.0
gemini,60s,60,isolation_forest,unauthorized_command,1,0.403921568627451,1.0,0.5754189944134078,1.0,1.0
grok,60s,60,isolation_forest,unauthorized_command,2,0.1186554621848739,1.0,0.21190629701267993,1.0,1.0
human_authored,60s,60,isolation_forest,unauthorized_command,1,0.2585365853658536,1.0,0.4108527131782946,1.0,1.0
chatgpt,60s,60,lstm,command_delay,1,0.0,0.0,0.0,0.0,
claude,60s,60,lstm,command_delay,1,1.0,0.2325581395348837,0.3773584905660377,1.0,13.0
grok,60s,60,lstm,command_delay,1,0.7384615384615385,1.0,0.8495575221238938,1.0,13.0
human_authored,60s,60,lstm,command_delay,1,0.7307692307692307,1.0,0.8444444444444444,1.0,13.0
chatgpt,60s,60,lstm,command_suppression,1,0.8727272727272727,1.0,0.9320388349514565,1.0,13.0
claude,60s,60,lstm,command_suppression,1,1.0,0.2413793103448276,0.3888888888888889,1.0,13.0
gemini,60s,60,lstm,command_suppression,1,0.896551724137931,1.0,0.9454545454545454,1.0,13.0
grok,60s,60,lstm,command_suppression,1,1.0,0.5,0.6666666666666666,1.0,13.0
human_authored,60s,60,lstm,command_suppression,1,1.0,0.5,0.6666666666666666,1.0,13.0
chatgpt,60s,60,lstm,coordinated_campaign,1,0.0,0.0,0.0,0.0,
grok,60s,60,lstm,coordinated_campaign,1,1.0,0.0377358490566037,0.0727272727272727,1.0,85.0
human_authored,60s,60,lstm,coordinated_campaign,1,1.0,0.0512820512820512,0.0975609756097561,1.0,13.0
chatgpt,60s,60,lstm,degradation,1,1.0,0.5,0.6666666666666666,1.0,13.0
gemini,60s,60,lstm,degradation,2,0.5,0.0465116279069767,0.0851063829787234,0.5,25.0
grok,60s,60,lstm,degradation,1,1.0,0.3255813953488372,0.4912280701754385,1.0,13.0
human_authored,60s,60,lstm,degradation,1,1.0,0.3255813953488372,0.4912280701754385,1.0,13.0
chatgpt,60s,60,lstm,false_data_injection,2,1.0,0.6932367149758454,0.8158783783783784,1.0,13.0
claude,60s,60,lstm,false_data_injection,4,1.0,0.5447842267064236,0.6914907440173398,1.0,13.0
gemini,60s,60,lstm,false_data_injection,1,1.0,0.5,0.6666666666666666,1.0,13.0
grok,60s,60,lstm,false_data_injection,3,0.6666666666666666,0.264221158958001,0.37806873977086736,0.6666666666666666,13.0
human_authored,60s,60,lstm,false_data_injection,1,1.0,0.6086956521739131,0.7567567567567568,1.0,13.0
chatgpt,60s,60,lstm,unauthorized_command,2,1.0,0.6439393939393939,0.7670454545454546,1.0,13.0
claude,60s,60,lstm,unauthorized_command,1,0.0,0.0,0.0,0.0,
gemini,60s,60,lstm,unauthorized_command,1,1.0,0.116504854368932,0.208695652173913,1.0,13.0
grok,60s,60,lstm,unauthorized_command,2,1.0,0.3369565217391304,0.48148148148148145,1.0,13.0
human_authored,60s,60,lstm,unauthorized_command,1,1.0,0.2641509433962264,0.417910447761194,1.0,13.0
chatgpt,60s,60,threshold_baseline,command_delay,1,0.95,1.0,0.9743589743589745,1.0,13.0
claude,60s,60,threshold_baseline,command_delay,1,1.0,0.0232558139534883,0.0454545454545454,1.0,241.0
grok,60s,60,threshold_baseline,command_delay,1,0.8679245283018868,0.9583333333333334,0.9108910891089108,1.0,37.0
human_authored,60s,60,threshold_baseline,command_delay,1,0.8780487804878049,0.9473684210526316,0.9113924050632912,1.0,37.0
