phase,diagram_box,implementation_status,label_safety,safe_label,evidence_files,notes
Phase 2,Validation Layer Physics + Safety Constraints Check,fully implemented,safe,Validator-guided plausibility and safety screening,phase2_scenario_master_inventory.csv; phase2_diversity_and_quality_report.md,"Accepted, rejected, and repaired statuses are explicitly tracked."
Phase 2,Injection Engine Measurement + Control Manipulation,fully implemented,safe,Measurement and control attack injection,outputs/attacked/scenario_manifest.json; outputs/attacked/attack_labels.parquet,Canonical attacked bundle and heldout bundles include measurement/control attack scenarios.
Phase 2,OpenDSS Execution Physical + Cyber Simulation,fully implemented,safe,OpenDSS physical and cyber replay simulation,PHASE1_DATA_LINEAGE_AUDIT.md; outputs/attacked/; outputs/window_size_study/improved_phase3/replay_inputs/,The repo includes both canonical simulation outputs and replay inputs built from heldout/repaired bundles.
Phase 2,Attack Dataset Generation Time-Series with Labels,fully implemented,safe,Attacked time-series dataset generation with labels,outputs/attacked/attack_labels.parquet; phase2_scenario_master_inventory.csv,Canonical and heldout bundles are linked to labeled attacked time-series artifacts.
Phase 2,Quality Check Plausibility + Diversity + Metadata,fully implemented,safe with updated wording,"Validated scenario quality, diversity, and coverage audit",phase2_coverage_summary.md; phase2_diversity_and_quality_report.md; phase2_difficulty_calibration.csv,"Coverage, diversity, balance, plausibility, and difficulty are now backed by persisted tables and figures."
Phase 3,Unified Dataset Normal + Attack Data,fully implemented,safe,Unified clean/attacked residual benchmark dataset,PHASE1_DATA_LINEAGE_AUDIT.md; outputs/window_size_study/*/residual_windows.parquet,Residual benchmark datasets explicitly align clean and attacked windows.
Phase 3,Model Training ML Models + Tiny LLM (LoRA),partially implemented,overclaiming,Canonical ML benchmark plus experimental LoRA explanation branch,outputs/window_size_study/final_window_comparison.csv; phase3_lora_results.csv; phase3_lora_run_log.txt,"Canonical ML benchmark is real and frozen; LoRA exists but remains an explanation-side extension, not the main detector."
Phase 3,Anomaly Detection Prediction Reconstruction Loss,partially implemented,unsafe label,Anomaly detection scoring across supervised and normal-oriented models,outputs/window_size_study/*/reports/model_summary.csv; phase1_ttm_results.csv,"Detection is implemented, but not all models are reconstruction-loss-based; the canonical winner is a supervised sequence classifier."
Phase 3,Decision Layer Threshold + Context Reasoning,partially implemented,safe with narrowed wording,Thresholded detection plus optional explanation/context support,deployment_benchmark_results.csv; xai_final_validation_report.md,Thresholding is central; context reasoning exists only as an auxiliary explanation-side layer.
Phase 3,Human-like Explanation LLM Generates Root Cause Analysis,partially implemented,unsafe/overclaiming,Grounded explanation layer for post-alert operator support,xai_case_level_audit.csv; xai_final_validation_report.md,"Family attribution is materially stronger than asset localization and grounding is partial, so human-like root-cause analysis is not supported."
Phase 3,"Evaluation Metrics F1, Precision, Recall, AOI",partially implemented,unsafe/incomplete label,"Detection metrics (F1, precision, recall, AP/ROC) plus explanation grounding metrics",outputs/window_size_study/final_window_comparison.csv; xai_case_level_audit.csv,F1/precision/recall are implemented; AOI is not a separately established repository metric and should not be claimed as such.
Phase 3,Deployment Vision Lightweight Edge AI for DER,partially implemented,unsafe/overclaiming,Offline lightweight deployment benchmark for frozen detector packages,deployment_benchmark_results.csv; deployment_environment_manifest.md,Offline replay timing and footprint are measured on a workstation CPU only; no edge hardware or field deployment evidence exists.
